label,confidence,prob,all_probs,path
Fake,0.875717838605245,0.875717838605245,"[0.9555557370185852, 0.7064372301101685, 0.9651605486869812]",../../../d4/test/fake/fake_1883.jpg
Fake,0.9708175460497538,0.9708175460497538,"[0.970571756362915, 0.9761670827865601, 0.9657137989997864]",../../../d4/test/fake/fake_1884.jpg
Fake,0.9694893558820089,0.9694893558820089,"[0.9705435633659363, 0.9707678556442261, 0.9671566486358643]",../../../d4/test/fake/fake_1885.jpg
Fake,0.9680793484052023,0.9680793484052023,"[0.9706446528434753, 0.9691016674041748, 0.9644917249679565]",../../../d4/test/fake/fake_1886.jpg
Fake,0.9597086906433105,0.9597086906433105,"[0.9613129496574402, 0.9559747576713562, 0.9618383646011353]",../../../d4/test/fake/fake_1887.jpg
Fake,0.6977046529452006,0.6977046529452006,"[0.9526897072792053, 0.1828557848930359, 0.9575684666633606]",../../../d4/test/fake/fake_1888.jpg
Fake,0.534521646797657,0.534521646797657,"[0.6267260313034058, 0.105882428586483, 0.8709564805030823]",../../../d4/test/fake/fake_1889.jpg
Fake,0.9709799687067667,0.9709799687067667,"[0.9706584811210632, 0.9753061532974243, 0.9669752717018127]",../../../d4/test/fake/fake_189.jpg
Fake,0.9720208247502645,0.9720208247502645,"[0.9705937504768372, 0.9794960618019104, 0.9659726619720459]",../../../d4/test/fake/fake_1890.jpg
Fake,0.9690877397855123,0.9690877397855123,"[0.9644761085510254, 0.974811315536499, 0.9679757952690125]",../../../d4/test/fake/fake_1891.jpg
Fake,0.9693431655565897,0.9693431655565897,"[0.9679591655731201, 0.9728710651397705, 0.9671992659568787]",../../../d4/test/fake/fake_1892.jpg
Fake,0.9727652668952942,0.9727652668952942,"[0.9704504013061523, 0.9791543483734131, 0.9686910510063171]",../../../d4/test/fake/fake_1893.jpg
Fake,0.9700460632642111,0.9700460632642111,"[0.9712386727333069, 0.9714662432670593, 0.9674332737922668]",../../../d4/test/fake/fake_1894.jpg
Fake,0.9687706033388773,0.9687706033388773,"[0.9689912796020508, 0.9705074429512024, 0.9668130874633789]",../../../d4/test/fake/fake_1895.jpg
Fake,0.7027362932761511,0.7027362932761511,"[0.9673497080802917, 0.19046323001384735, 0.950395941734314]",../../../d4/test/fake/fake_1896.jpg
Fake,0.9694067239761353,0.9694067239761353,"[0.9681676030158997, 0.9713214635848999, 0.9687311053276062]",../../../d4/test/fake/fake_1897.jpg
Fake,0.8856975436210632,0.8856975436210632,"[0.9486496448516846, 0.7475777864456177, 0.9608651995658875]",../../../d4/test/fake/fake_1898.jpg
Fake,0.9703221122423807,0.9703221122423807,"[0.9688606858253479, 0.9765983819961548, 0.9655072689056396]",../../../d4/test/fake/fake_1899.jpg
Fake,0.9692899584770203,0.9692899584770203,"[0.9693160057067871, 0.9722083210945129, 0.9663455486297607]",../../../d4/test/fake/fake_19.jpg
Fake,0.9704190492630005,0.9704190492630005,"[0.9695205688476562, 0.9755428433418274, 0.9661937355995178]",../../../d4/test/fake/fake_190.jpg
Fake,0.9702672362327576,0.9702672362327576,"[0.969716489315033, 0.975440502166748, 0.9656447172164917]",../../../d4/test/fake/fake_1900.jpg
Fake,0.9715694983800253,0.9715694983800253,"[0.9717288017272949, 0.9764556884765625, 0.9665240049362183]",../../../d4/test/fake/fake_1901.jpg
Fake,0.962829569975535,0.962829569975535,"[0.9544547200202942, 0.968672513961792, 0.965361475944519]",../../../d4/test/fake/fake_1902.jpg
Fake,0.9545314709345499,0.9545314709345499,"[0.9230621457099915, 0.9739764928817749, 0.9665557742118835]",../../../d4/test/fake/fake_1903.jpg
Fake,0.9679158926010132,0.9679158926010132,"[0.9673805832862854, 0.9714316725730896, 0.9649354219436646]",../../../d4/test/fake/fake_1904.jpg
Fake,0.9670079946517944,0.9670079946517944,"[0.9623775482177734, 0.9741990566253662, 0.9644473791122437]",../../../d4/test/fake/fake_1905.jpg
Fake,0.9057910839716593,0.9057910839716593,"[0.9260034561157227, 0.8876298666000366, 0.9037399291992188]",../../../d4/test/fake/fake_1906.jpg
Fake,0.9677792390187582,0.9677792390187582,"[0.9670493602752686, 0.9722027778625488, 0.964085578918457]",../../../d4/test/fake/fake_1907.jpg
Fake,0.9668024977048238,0.9668024977048238,"[0.968113899230957, 0.9672200083732605, 0.9650735855102539]",../../../d4/test/fake/fake_1908.jpg
Fake,0.9681002100308737,0.9681002100308737,"[0.962232232093811, 0.9748156070709229, 0.967252790927887]",../../../d4/test/fake/fake_1909.jpg
Fake,0.9682493408521017,0.9682493408521017,"[0.962983250617981, 0.9753286838531494, 0.9664360880851746]",../../../d4/test/fake/fake_191.jpg
Fake,0.9706023534138998,0.9706023534138998,"[0.9689760804176331, 0.9760420322418213, 0.9667889475822449]",../../../d4/test/fake/fake_1910.jpg
Fake,0.9711411794026693,0.9711411794026693,"[0.9709300994873047, 0.9763227701187134, 0.9661706686019897]",../../../d4/test/fake/fake_1911.jpg
Fake,0.9697886904080709,0.9697886904080709,"[0.9696667194366455, 0.973036527633667, 0.9666628241539001]",../../../d4/test/fake/fake_1912.jpg
Fake,0.9710991382598877,0.9710991382598877,"[0.9710561037063599, 0.9764936566352844, 0.9657476544380188]",../../../d4/test/fake/fake_1913.jpg
Fake,0.9702277382214864,0.9702277382214864,"[0.9704461097717285, 0.973954439163208, 0.9662826657295227]",../../../d4/test/fake/fake_1914.jpg
Fake,0.9066136280695597,0.9066136280695597,"[0.8994486331939697, 0.9249222278594971, 0.8954700231552124]",../../../d4/test/fake/fake_1915.jpg
Fake,0.9703153967857361,0.9703153967857361,"[0.9688767790794373, 0.9762052893638611, 0.9658641219139099]",../../../d4/test/fake/fake_1916.jpg
Fake,0.970005730787913,0.970005730787913,"[0.9696688055992126, 0.9729655385017395, 0.9673828482627869]",../../../d4/test/fake/fake_1917.jpg
Fake,0.9714945952097574,0.9714945952097574,"[0.9694641828536987, 0.9779934883117676, 0.9670261144638062]",../../../d4/test/fake/fake_1918.jpg
Fake,0.9460834066073099,0.9460834066073099,"[0.9645822048187256, 0.9065777063369751, 0.9670903086662292]",../../../d4/test/fake/fake_1919.jpg
Fake,0.9242903590202332,0.9242903590202332,"[0.8898795247077942, 0.9177274703979492, 0.965264081954956]",../../../d4/test/fake/fake_192.jpg
Fake,0.9682005842526754,0.9682005842526754,"[0.9686638712882996, 0.9700906872749329, 0.9658471941947937]",../../../d4/test/fake/fake_1920.jpg
